cod_ine,nombre,concejales,concejales_hombres,concejales_mujeres,concejo,votacion,resultado
51302,Acasio,5,3,2,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""M.O.P."",""v"":1}]",,
51401,Llica,3,2,1,"[{""s"":""MAS-IPSP"",""v"":2},{""s"":""MSM"",""v"":3}]",,
51402,Tahua,5,3,2,"[{""s"":""MAS-IPSP"",""v"":2},{""s"":""MSM"",""v"":1},{""s"":""F.U.C."",""v"":1}]",,
51501,Villazón,5,3,2,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""MSM"",""v"":1},{""s"":""A.C.U."",""v"":1},{""s"":""FCRP"",""v"":1}]",,
51601,San Agustín,4,3,1,"[{""s"":""MAS-IPSP"",""v"":5}]",,
60101,Tarija,5,4,1,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""BI-CO"",""v"":1},{""s"":""CC"",""v"":1},{""s"":""UNIR"",""v"":6}]",,
60201,Padcaya,11,6,5,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""COMUNIDAD"",""v"":2}]",,
60202,Bermejo,5,3,2,"[{""s"":""MAS-IPSP"",""v"":1},{""s"":""ASI"",""v"":1},{""s"":""C.SOL"",""v"":1},{""s"":""MAR"",""v"":2},{""s"":""PAN"",""v"":2}]",,
60301,Yacuiba,5,3,2,"[{""s"":""MAS-IPSP"",""v"":2},{""s"":""PAIS"",""v"":3},{""s"":""CC"",""v"":1},{""s"":""PAN"",""v"":5}]",,
60302,Caraparí,5,4,1,"[{""s"":""MAS-IPSP"",""v"":2},{""s"":""PAN"",""v"":2},{""s"":""PRP"",""v"":1}]",,
60303,Villamontes,11,5,6,"[{""s"":""MAS-IPSP"",""v"":1},{""s"":""ADC"",""v"":1},{""s"":""CC"",""v"":1},{""s"":""RHP"",""v"":1},{""s"":""VIDA"",""v"":1}]",,
60401,Uriondo (Concepción),5,2,3,"[{""s"":""MAS-IPSP"",""v"":1},{""s"":""CC"",""v"":3},{""s"":""FAU"",""v"":1}]",,
60402,Yunchará,,,,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""CC"",""v"":1}]",,
60501,San Lorenzo,5,4,1,"[{""s"":""MAS-IPSP"",""v"":2},{""s"":""CC"",""v"":1},{""s"":""PAN"",""v"":2}]",,
60502,El Puente,5,3,2,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""CC"",""v"":1},{""s"":""UNIR"",""v"":1}]",,
